"","orig.ident","nCount_RNA","nFeature_RNA","percent.mt","n.exp.hkgenes","seurat_QC"
"C004","PatchSeq",4013725.02499999,4720,20.4576719650318,75,"PASS"
"C009","PatchSeq",865547.012000001,2727,4.73916084406028,47,"FAIL"
"C022","PatchSeq",11692984,6905,11.5423178454137,79,"PASS"
"C024","PatchSeq",4939012.02499998,5210,1.0346048078374,80,"PASS"
"C034","PatchSeq",849972.999999998,3100,12.8364580981818,40,"FAIL"
"C035","PatchSeq",6856275.99299999,4347,48.9132941029263,75,"PASS"
"C037","PatchSeq",9143108.009,4694,21.4166603299363,78,"PASS"
"C038","PatchSeq",18123422.9869999,6176,22.0532635810894,77,"PASS"
"C041","PatchSeq",9331569.993,2473,28.9441306927779,72,"PASS"
"C047","PatchSeq",10752020.004,14898,17.4982273963612,89,"FAIL"
"C049","PatchSeq",18971780.9639999,6753,18.6639872001136,83,"PASS"
"C054","PatchSeq",20742423.972,5692,36.6388076363826,77,"PASS"
"C058","PatchSeq",14844335.988,4440,17.3314593125064,73,"PASS"
"C060","PatchSeq",2604594.023,5117,19.1653433432408,76,"PASS"
"C061","PatchSeq",1462231.015,4956,15.901561547375,78,"PASS"
"C065","PatchSeq",229262.014,3280,14.9922523549768,50,"FAIL"
"C070","PatchSeq",2624491.994,6659,25.1689529264017,79,"PASS"
"C074","PatchSeq",943298,2480,36.8528885000101,70,"PASS"
"C075","PatchSeq",1774591.989,4382,23.0443691294913,77,"PASS"
"C077","PatchSeq",3373987.97800001,6832,25.1050512931178,81,"PASS"
"C084","PatchSeq",2491838.02300001,4533,42.4703059127029,77,"PASS"
"C088","PatchSeq",3434333.003,7223,34.9491580520883,81,"PASS"
"C089","PatchSeq",363746.999,1681,37.4380565996475,47,"FAIL"
"C092","PatchSeq",4713193.003,4178,18.8321644647523,73,"PASS"
"C098","PatchSeq",3589629.00899999,3697,28.8389807804266,78,"PASS"
"C099","PatchSeq",3726003.00400001,5491,19.2505811592555,80,"PASS"
"C100","PatchSeq",2477045.999,3062,31.3045076574629,76,"PASS"
"C110","PatchSeq",590630.991999999,3799,20.9520422306842,79,"PASS"
"C111","PatchSeq",4277999.984,3844,55.3645564494992,76,"PASS"
"C115","PatchSeq",3688541.02399999,7307,26.1590501640169,81,"PASS"
"C116","PatchSeq",593966.004,3283,28.7987192106037,76,"PASS"
"C119","PatchSeq",2821015.03100001,5286,23.4449953152283,81,"PASS"
"C122","PatchSeq",309758.003,1869,9.45947852857732,47,"FAIL"
"C124","PatchSeq",4823650.00600001,4776,27.8886513285442,76,"PASS"
"C125","PatchSeq",483380,3001,38.8678314342797,70,"PASS"
"C135","PatchSeq",3821556.01099999,4052,14.6189593181517,74,"PASS"
"C148","PatchSeq",607107.999000001,4953,27.7870582221477,77,"PASS"
"C150","PatchSeq",4083710.004,5473,20.2814119422399,76,"PASS"
"C153","PatchSeq",2189208.99,4067,37.4145832264841,75,"PASS"
"C155","PatchSeq",2865319.003,4225,24.6144994638279,72,"PASS"
"C158","PatchSeq",352852.011,1580,34.411634672301,59,"FAIL"
"C165","PatchSeq",2192292.02000001,5044,17.82825233821,77,"PASS"
"C166","PatchSeq",2424936.976,5055,19.1485947541633,78,"PASS"
"C167","PatchSeq",722775.008000002,4874,24.0422175031624,76,"PASS"
"C168","PatchSeq",2588023.025,4248,18.8083328679469,78,"PASS"
"C169","PatchSeq",646727.012,3180,30.7249760880983,75,"PASS"
"C172","PatchSeq",1492768.97899999,6181,25.7604625482467,77,"PASS"
"C174","PatchSeq",2463273.008,3914,19.5535905810431,76,"PASS"
"C175","PatchSeq",1563725.993,5107,15.1844758935147,76,"PASS"
"C179","PatchSeq",1365619.01899999,4255,14.4265678908748,79,"PASS"
"C188","PatchSeq",7652546.00700001,5980,21.7947687566389,82,"PASS"
"C191","PatchSeq",5043788.99400002,7314,12.7806565876283,83,"PASS"
"C192","PatchSeq",1648095.006,2559,31.1406387711541,66,"PASS"
